"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"acepack","acepack","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"ade4","ade4","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.7-13",NA,"R (>= 2.10)","graphics, grDevices, methods, stats, utils, MASS",NA,"ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, pixmap, sp, spdep, splancs, waveslim",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"adegenet","adegenet","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.1.1",NA,"R (>= 2.14), methods, ade4","utils, stats, grDevices, MASS, igraph, ape, shiny, ggplot2,
seqinr, parallel, spdep, boot, reshape2, dplyr (>= 0.4.1),
vegan",NA,"pegas, hierfstat, akima, maps, splancs, tripack, testthat,
poppr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"adegraphics","adegraphics","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0-15",NA,"R (>= 3.0.2)","ade4 (>= 1.7-13), graphics, grid, KernSmooth, lattice,
latticeExtra, methods, RColorBrewer, sp (>= 1.1-1), stats",NA,"Guerry, knitr, maptools, pixmap, rmarkdown, spdep, splancs",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"adephylo","adephylo","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1-11",NA,"methods, ade4 (>= 1.7-10)","phylobase, ape, adegenet",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"adespatial","adespatial","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3-7",NA,NA,"ade4 (>= 1.7-13), adegraphics, adephylo, sp, spdep, lattice,
methods, grDevices, graphics, MASS, stats, utils, shiny, vegan",NA,"knitr, RANN, rgeos, maptools, ape, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"ADGofTest","ADGofTest","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"3.6.0"
"afex","afex","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.24-1",NA,"R (>= 3.5.0), lme4 (>= 1.1-8)","pbkrtest (>= 0.4-1), lmerTest (>= 3.0-0), car, reshape2,
stats, methods",NA,"emmeans (>= 1.1.2), coin, xtable, parallel, plyr, optimx,
nloptr, knitr, rmarkdown, R.rsp, lattice, latticeExtra,
multcomp, testthat, mlmRev, dplyr, tidyr, dfoptim, Matrix,
psych, ggplot2, MEMSS, effects, carData, ggbeeswarm, nlme,
cowplot, jtools, ggpubr, ggpol, MASS, glmmTMB, brms, rstanarm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"akima","akima","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.6-2",NA,"R (>= 2.0.0)","sp",NA,NA,NA,"ACM | file LICENSE",NA,"yes",NA,NA,"yes","3.6.0"
"alignfigR","alignfigR","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.1",NA,"R (>= 3.1.1)","ggplot2 (>= 2.1.0)",NA,"knitr",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"amap","amap","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.8-17",NA,"R (>= 3.6.0)",NA,NA,"Biobase",NA,"GPL",NA,NA,NA,NA,"yes","3.6.0"
"animation","animation","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.6",NA,"R (>= 2.14.0)","magick",NA,"MASS, class, testit",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"annotate","annotate","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.62.0",NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), RCurl",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, hom.Hs.inp.db, humanCHRLOC, Rgraphviz, RUnit,",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"AnnotationDbi","AnnotationDbi","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.46.0",NA,"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25)",NA,"hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db, KEGG.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, hom.Hs.inp.db,
org.Hs.eg.db, reactome.db, AnnotationForge, graph,
EnsDb.Hsapiens.v75, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"ape","ape","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","5.3",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"apex","apex","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.3",NA,"R (>= 3.1.3), methods, ape, phangorn","utils, graphics, stats, grDevices, adegenet",NA,"testthat, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"arrangements","arrangements","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.5",NA,"R (>= 3.4.0)","methods, R6, gmp",NA,"foreach, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"askpass","askpass","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"assertthat","assertthat","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"automap","automap","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0-14",NA,"R (>= 2.10.0), sp (>= 0.9-55)","gstat, lattice, reshape",NA,"ggplot2, maptools, gpclib",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"backports","backports","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.4",NA,"R (>= 3.0.0)","utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"base","base","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.6.0","base",NA,NA,NA,"methods",NA,"Part of R 3.6.0",NA,NA,NA,NA,NA,"3.6.0"
"base64enc","base64enc","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"bayesm","bayesm","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.1-1",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.0), utils, stats, graphics, grDevices","Rcpp, RcppArmadillo","knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"bayestestR","bayestestR","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.2",NA,"R (>= 3.0), stats, methods, utils","insight (>= 0.3.0)",NA,"BayesFactor, bridgesampling, brms, broom, covr, dplyr,
emmeans, tidyr, GGally, ggplot2, ggridges, KernSmooth, knitr,
lme4, logspline, see, rmarkdown, rstan, rstanarm, stringr,
testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"bda","bda","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","10.1.9",NA,"R (>= 2.10.0)",NA,NA,NA,NA,"Unlimited",NA,NA,NA,NA,"yes","3.6.0"
"BDgraph","BDgraph","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.59",NA,NA,"igraph",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"beeswarm","beeswarm","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.3",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"betapart","betapart","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.5.1",NA,NA,"ape, fastmatch, geometry, picante, rcdd",NA,"doParallel, foreach, vegan",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"BH","BH","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.69.0-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","3.6.0"
"bigmemory","bigmemory","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","4.5.33",NA,"R (>= 3.2.0),","methods, Rcpp, utils, bigmemory.sri","BH, Rcpp","knitr, testthat","biganalytics, bigtabulate","LGPL-3 | Apache License 2.0",NA,NA,NA,NA,"yes","3.6.0"
"bigmemory.sri","bigmemory.sri","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.3",NA,NA,"methods",NA,NA,"bigmemory, synchronicity","LGPL-3 | Apache License 2.0",NA,NA,NA,NA,"no","3.6.0"
"bindr","bindr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"bindrcpp","bindrcpp","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.2",NA,NA,"bindr (>= 0.1.1), Rcpp (>= 0.12.16)","plogr, Rcpp","testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"bio3d","bio3d","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.3-4",NA,"R (>= 3.1.0)","Rcpp, parallel, grid, graphics, grDevices, stats, utils","Rcpp","XML, RCurl, lattice, ncdf4, igraph, bigmemory, knitr,
testthat (>= 0.9.1), httr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"Biobase","Biobase","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.44.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
"BiocGenerics","BiocGenerics","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.30.0",NA,"R (>= 3.6.0), methods, utils, graphics, stats, parallel","methods, utils, graphics, stats, parallel",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, Rsamtools,
AnnotationDbi, oligoClasses, oligo, affyPLM, flowClust, affy,
DESeq2, MSnbase, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"BiocManager","BiocManager","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.30.4",NA,"R (>= 3.5.0)","utils",NA,"BiocStyle, BiocVersion, remotes, testthat, knitr, withr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"BiocParallel","BiocParallel","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.18.0",NA,"methods","stats, utils, futile.logger, parallel, snow","BH","BiocGenerics, tools, foreach, BatchJobs, BBmisc, doParallel,
Rmpi, GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, codetools, RUnit,
BiocStyle, knitr, batchtools, data.table",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"BiocVersion","BiocVersion","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.9.0",NA,"R (>= 3.6.0), R (< 3.7.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"biomaRt","biomaRt","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.40.1",NA,"methods","utils, XML, RCurl, AnnotationDbi, progress, stringr, httr",NA,"annotate, BiocStyle, knitr, rmarkdown, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"biomartr","biomartr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.9.0",NA,"R (>= 3.1.1)","biomaRt, Biostrings, curl, tibble, jsonlite, data.table (>=
1.9.4), dplyr (>= 0.3.0), readr (>= 0.2.2), downloader (>=
0.3), RCurl (>= 1.95-4.5), XML (>= 3.98-1.1), httr (>= 0.6.1),
stringr (>= 0.6.2), purrr, R.utils, philentropy, fs",NA,"knitr (>= 1.6), rmarkdown (>= 0.3.3), devtools (>= 1.6.1),
testthat, seqinr, magrittr",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"biomformat","biomformat","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.12.0",NA,"R (>= 3.2), methods","plyr (>= 1.8), jsonlite (>= 0.9.16), Matrix (>= 1.2), rhdf5",NA,"testthat (>= 0.10), knitr (>= 1.10), BiocStyle (>= 1.6),
rmarkdown (>= 0.7)",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
