"Number" "Altitude" "Species"
"3" 2 1700 "Callosciurus orestes"
"8" 1 1200 "Sundasciurus everetti"
"9" 14 1700 "Sundasciurus everetti"
"10" 27 2200 "Sundasciurus everetti"
"11" 8 2700 "Sundasciurus everetti"
"12" 30 3200 "Sundasciurus everetti"
"15" 2 1700 "Hylomys suillus"
"16" 2 2200 "Hylomys suillus"
"17" 8 2700 "Hylomys suillus"
"18" 1 3200 "Hylomys suillus"
"19" 5 700 "Leopoldamys sabanus"
"20" 5 1200 "Leopoldamys sabanus"
"21" 2 1700 "Leopoldamys sabanus"
"22" 3 2200 "Leopoldamys sabanus"
"23" 6 2700 "Leopoldamys sabanus"
"24" 2 3200 "Leopoldamys sabanus"
"26" 16 1200 "Maxomys ochraceiventer"
"31" 10 700 "Maxomys surifer"
"32" 7 1200 "Maxomys surifer"
"37" 6 700 "Maxomys whiteheadi"
"38" 1 1200 "Maxomys whiteheadi"
"39" 10 1700 "Maxomys whiteheadi"
"40" 6 2200 "Maxomys whiteheadi"
"43" 10 700 "Niviventer cremoriventer"
"44" 2 1200 "Niviventer cremoriventer"
"45" 1 1700 "Niviventer cremoriventer"
"52" 41 2200 "Rattus baluensis"
"53" 81 2700 "Rattus baluensis"
"54" 131 3200 "Rattus baluensis"
"57" 5 1700 "Sundamys infraluteus"
"58" 1 2200 "Sundamys infraluteus"
"62" 30 1200 "Tupaia montana"
"63" 126 1700 "Tupaia montana"
"64" 134 2200 "Tupaia montana"
"65" 60 2700 "Tupaia montana"
"66" 24 3200 "Tupaia montana"
"67" 3 700 "Tupaia tana"
